accession	organism	taxid	group	supergroup	stratum	length	gc	n_cds	n_trna	n_rrna	transl_table	n_markers	markers
NC_029185.1	Rhizophagus fasciculatus	47032	Fungi	Opisthokonta	Fungi	72251	0.3714	30	25	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_012056.1	Rhizophagus intraradices	4876	Fungi	Opisthokonta	Fungi	70606	0.3718	20	26	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_014489.1	Rhizophagus irregularis	588596	Fungi	Opisthokonta	Fungi	70800	0.3722	30	25	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_006837.1	Zancudomyces culisetae	1213189	Fungi	Opisthokonta	Fungi	58654	0.185	31	27	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_003048.1	Hyaloraphidium curvatum	82268	Fungi	Opisthokonta	Fungi	29593	0.4318	18	7	3	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_086477.1	Malassezia brasiliensis	1821822	Fungi	Opisthokonta	Fungi	60300	0.2493	30	25	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_086479.1	Malassezia cuniculi	948313	Fungi	Opisthokonta	Fungi	63712	0.2177	19	32	3	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_086484.1	Malassezia psittaci	1821823	Fungi	Opisthokonta	Fungi	46165	0.2492	17	22	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_086483.1	Malassezia vespertilionis	2020962	Fungi	Opisthokonta	Fungi	59251	0.2204	24	24	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_020354.1	Microbotryum cf. violaceum BFL-2013	1288119	Fungi	Opisthokonta	Fungi	92107	0.3277	44	24	1	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_020353.1	Microbotryum lychnidis-dioicae	288795	Fungi	Opisthokonta	Fungi	107808	0.3376	51	31	1	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_023248.1	Jaminaea angkorensis	542766	Fungi	Opisthokonta	Fungi	29999	0.3216	18	22	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_004623.1	Harpochytrium sp. JEL105	224131	Fungi	Opisthokonta	Fungi	24169	0.3621	14	8	3	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_004760.1	Harpochytrium sp. JEL94	109764	Fungi	Opisthokonta	Fungi	19473	0.3535	14	8	3	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_004624.1	Monoblepharella sp. JEL15	224130	Fungi	Opisthokonta	Fungi	60432	0.3932	26	9	3	1	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_058635.1	Linnemannia amoeboidea	743927	Fungi	Opisthokonta	Fungi	49702	0.2086	18	26	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_006838.1	Podila verticillata	78898	Fungi	Opisthokonta	Fungi	58745	0.2788	25	26	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_036158.1	Absidia glauca	4829	Fungi	Opisthokonta	Fungi	63080	0.2818	28	24	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_066217.1	Gongronella sp. w5	483437	Fungi	Opisthokonta	Fungi	36593	0.3006	21	24	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_024200.1	Lichtheimia hongkongensis	549293	Fungi	Opisthokonta	Fungi	31830	0.3409	15	25	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_027730.1	Phycomyces blakesleeanus	4837	Fungi	Opisthokonta	Fungi	62082	0.3791	31	24	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_085239.1	Backusella lamprospora	64654	Fungi	Opisthokonta	Fungi	44984	0.351	20	24	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_084441.1	Mucor indicus	64623	Fungi	Opisthokonta	Fungi	61400	0.33	36	26	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_024944.1	Parasitella parasitica	35722	Fungi	Opisthokonta	Fungi	83361	0.3094	42	26	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_006836.1	Rhizopus arrhizus	64495	Fungi	Opisthokonta	Fungi	54178	0.2617	24	24	2	1	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_084442.1	Rhizopus microsporus	58291	Fungi	Opisthokonta	Fungi	43837	0.2493	24	24	2	1	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_069952.1	Drechslerella dactyloides	74499	Fungi	Opisthokonta	Fungi	246860	0.2616	87	26	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_039355.1	Pertusaria propinqua	2283411	Fungi	Opisthokonta	Fungi	79765	0.2571	19	29	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_029745.1	Pyronema omphalodes	337075	Fungi	Opisthokonta	Fungi	191189	0.4298	48	26	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_053885.1	Tuber calosporum	1894963	Fungi	Opisthokonta	Fungi	287403	0.2992	18	14	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_022159.1	Barnettozyma californica	36038	Fungi	Opisthokonta	Fungi	48471	0.1924	25	24	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_050041.1	Phallus indusiatus	146777	Fungi	Opisthokonta	Fungi	89139	0.2474	51	24	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_022158.1	Pichia kluyveri	36015	Fungi	Opisthokonta	Fungi	43128	0.2244	26	26	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_022154.1	Meyerozyma guilliermondii	4929	Fungi	Opisthokonta	Fungi	31070	0.2458	20	25	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_053321.1	Candidozyma auris	498019	Fungi	Opisthokonta	Fungi	28212	0.2257	15	23	2	3	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_013660.2	Pneumocystis carinii	4754	Fungi	Opisthokonta	Fungi	26119	0.2981	17	25	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_020331.1	Pneumocystis jirovecii	42068	Fungi	Opisthokonta	Fungi	35626	0.255	15	25	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_020332.1	Pneumocystis murina	263815	Fungi	Opisthokonta	Fungi	24608	0.2978	15	28	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_014352.1	Phakopsora meibomiae	169999	Fungi	Opisthokonta	Fungi	32520	0.3487	15	24	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_014344.1	Phakopsora pachyrhizi	170000	Fungi	Opisthokonta	Fungi	31825	0.3455	15	24	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_039655.1	Puccinia striiformis f. sp. tritici	168172	Fungi	Opisthokonta	Fungi	101521	0.314	14	24	0	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_044103.1	Puccinia triticina	208348	Fungi	Opisthokonta	Fungi	77894	0.3743	14	23	0	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_044121.1	Austropuccinia psidii	181123	Fungi	Opisthokonta	Fungi	93299	0.3745	45	23	2	4	13	atp6,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_003053.1	Rhizophydium sp. 136	60187	Fungi	Opisthokonta	Fungi	68834	0.2297	37	7	2	16	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_069201.1	Spathularia flavida	33158	Fungi	Opisthokonta	Fungi	42419	0.303	17	30	1	4	14	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_021611.1	Rozella allomycis	281847	Fungi	Opisthokonta	Fungi	12055	0.1448	8	4	2	4	6	atp6,atp9,cob,cox1,cox2,cox3
NC_084443.1	Saccharomycopsis fibuligera	4944	Fungi	Opisthokonta	Fungi	57302	0.244	38	25	2	3	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_037703.1	Saccharomycodes ludwigii	36035	Fungi	Opisthokonta	Fungi	66725	0.0839	12	24	2	3	8	atp6,atp8,atp9,cob,cox1,cox2,cox3,rps3
NC_040930.1	Schizosaccharomyces cryophilus	866546	Fungi	Opisthokonta	Fungi	32669	0.3042	12	24	2	4	8	atp6,atp8,atp9,cob,cox1,cox2,cox3,rps3
NC_004332.1	Schizosaccharomyces japonicus	4897	Fungi	Opisthokonta	Fungi	80059	0.1976	10	25	2	4	7	atp6,atp8,atp9,cob,cox1,cox2,cox3
NC_004312.1	Schizosaccharomyces octosporus	4899	Fungi	Opisthokonta	Fungi	44227	0.2404	14	25	2	4	8	atp6,atp8,atp9,cob,cox1,cox2,cox3,rps3
NC_071386.1	Schizosaccharomyces osmophilus	2545709	Fungi	Opisthokonta	Fungi	46134	0.283	13	24	2	4	8	atp6,atp8,atp9,cob,cox1,cox2,cox3,rps3
NC_088682.1	Schizosaccharomyces pombe	4896	Fungi	Opisthokonta	Fungi	19433	0.3007	11	25	2	4	8	atp6,atp8,atp9,cob,cox1,cox2,cox3,rps3
NC_042879.1	Spizellomyces sp. 'palustris'	117820	Fungi	Opisthokonta	Fungi	126474	0.2988	41	12	2	16	12	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad5,nad6
NC_036340.1	Rhodotorula mucilaginosa	5537	Fungi	Opisthokonta	Fungi	47023	0.4043	31	23	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_052704.1	Rhodotorula toruloides	5286	Fungi	Opisthokonta	Fungi	125937	0.4095	25	28	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_042370.1	Synchytrium endobioticum	286115	Fungi	Opisthokonta	Fungi	72775	0.4952	19	5	2	16	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_042878.1	Synchytrium microbalum	1806994	Fungi	Opisthokonta	Fungi	23811	0.2798	14	5	2	16	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_061401.1	Polyozellus multiplex	281719	Fungi	Opisthokonta	Fungi	47054	0.2335	27	26	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_073546.1	Tilletia controversa	13291	Fungi	Opisthokonta	Fungi	115162	0.3182	14	23	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_009880.1	Tilletia indica	43049	Fungi	Opisthokonta	Fungi	65147	0.2886	14	24	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_010651.1	Tilletia walkeri	117179	Fungi	Opisthokonta	Fungi	59352	0.2879	14	24	0	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_039747.1	Hannaella oryzae	4979	Fungi	Opisthokonta	Fungi	26444	0.3898	17	23	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_036422.1	Tremella fuciformis	64657	Fungi	Opisthokonta	Fungi	35058	0.376	20	23	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_068697.1	Pascua guehoae	105714	Fungi	Opisthokonta	Fungi	37686	0.2964	22	23	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_054273.1	Trichosporon inkin	82517	Fungi	Opisthokonta	Fungi	39466	0.2756	22	24	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_008368.1	Mycosarcoma maydis	5270	Fungi	Opisthokonta	Fungi	56814	0.312	26	23	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_034947.1	Baltalimania ylvae	3341436	Metazoa	Opisthokonta	Metazoa	16619	0.253	12	22	2	5	12	atp6,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_034948.1	Isodiametra pulchra	504439	Metazoa	Opisthokonta	Metazoa	18725	0.3272	11	22	2	5	11	atp6,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad5,nad6
NC_034946.1	Paratomella rubra	90914	Metazoa	Opisthokonta	Metazoa	14954	0.2185	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_014578.1	Symsagittifera roscoffensis	84072	Metazoa	Opisthokonta	Metazoa	14803	0.247	12	21	2	5	12	atp6,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_027612.1	Halcampoides purpureus	2268653	Metazoa	Opisthokonta	Metazoa	18038	0.4208	15	2	2	4	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_010213.1	Agelas schmidtii	2723817	Metazoa	Opisthokonta	Metazoa	20360	0.3825	14	24	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_031872.1	Setaphyes kielensis	3298910	Metazoa	Opisthokonta	Metazoa	14985	0.2597	13	23	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_020155.1	Geotrypetes seraphini	260995	Metazoa	Opisthokonta	Metazoa	16293	0.3208	13	22	2	2	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_009774.1	Asymmetron inferum	426587	Metazoa	Opisthokonta	Metazoa	15084	0.373	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_006464.1	Asymmetron lucayanum	223987	Metazoa	Opisthokonta	Metazoa	15102	0.3848	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_009775.1	Asymmetron sp. A TK-2007	426588	Metazoa	Opisthokonta	Metazoa	15050	0.409	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_004537.1	Branchiostoma belcheri	7741	Metazoa	Opisthokonta	Metazoa	15076	0.3527	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_000834.1	Branchiostoma floridae	7739	Metazoa	Opisthokonta	Metazoa	15083	0.373	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_008069.1	Branchiostoma japonicum	373177	Metazoa	Opisthokonta	Metazoa	15075	0.3537	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_001912.1	Branchiostoma lanceolatum	7740	Metazoa	Opisthokonta	Metazoa	15076	0.3734	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_026836.1	Epigonichthys cultellus	1355229	Metazoa	Opisthokonta	Metazoa	14991	0.3644	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_006465.1	Epigonichthys maldivensis	231028	Metazoa	Opisthokonta	Metazoa	14975	0.389	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_046843.1	Tanacetipathes thamnea	2716933	Metazoa	Opisthokonta	Metazoa	17712	0.4017	13	2	2	4	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_023208.1	Bursaphelenchus xylophilus	6326	Metazoa	Opisthokonta	Metazoa	14778	0.1654	12	22	2	5	12	atp6,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_010214.1	Hydra oligactis	6088	Metazoa	Opisthokonta	Metazoa	16314	0.2377	13	2	2	4	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_021406.1	Hydra sinensis	570418	Metazoa	Opisthokonta	Metazoa	16189	0.2276	13	2	2	4	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_012887.1	Clavelina lepadiformis	159417	Metazoa	Opisthokonta	Metazoa	14484	0.2382	12	24	2	13	12	atp6,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_024105.1	Clavelina oblonga	286222	Metazoa	Opisthokonta	Metazoa	14603	0.2153	13	24	2	13	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_026107.1	Didemnum vexillum	516032	Metazoa	Opisthokonta	Metazoa	13424	0.159	12	24	2	13	12	atp6,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_013584.1	Aplidium conicum	286149	Metazoa	Opisthokonta	Metazoa	15183	0.2307	13	24	2	13	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_058250.1	Chiridota heheva	2743191	Metazoa	Opisthokonta	Metazoa	17200	0.3391	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_012821.1	Cephalothrix simula	187810	Metazoa	Opisthokonta	Metazoa	16296	0.2509	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_005935.1	Argulus americanus	260819	Metazoa	Opisthokonta	Metazoa	15102	0.2215	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_057223.1	Actinopyga lecanora	571811	Metazoa	Opisthokonta	Metazoa	15569	0.3655	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_045305.1	Beroe cucumis	31167	Metazoa	Opisthokonta	Metazoa	10487	0.1849	10	0	2	4	9	cob,cox1,cox2,cox3,nad1,nad2,nad4,nad4L,nad5
NC_038065.1	Beroe forskalii	140453	Metazoa	Opisthokonta	Metazoa	13338	0.1728	13	0	2	4	11	cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_039940.1	Periplaneta brunnea	36976	Metazoa	Opisthokonta	Metazoa	15604	0.2499	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
